"Reference","Qty","MPN","M","Description"
"C1,C2,C3,C4","4","GRM32ER71K475KE14L","Murata","4.7 µF ±10% 80V Ceramic Capacitor X7R 1210 (3225 Metric)"
"C5,C8,C9,C10","4","TMK325ABJ476MM-P","TAIYO YUDEN","47 µF ±20% 25V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C6","1","GCM21BR71H105KA03L","Murata","1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C7","1","GCM3195C1H333JA16D","Murata","0.033 µF ±5% 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)"
"C11","1","T521V226M025ATE040","KEMET","22 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 40mOhm @ 100kHz"
"C12","1","GCM1885C2A100FA16D","Murata","10 pF ±1% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C13","1","T521X107M025ATE060","Kemet","100 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 60mOhm @ 100kHz"
"D1","1","CMMSH1-40L TR PBFREE","Central Semiconductor Corp","Diode 40 V 1A Surface Mount SOD-123F"
"H1,H2,NT1","3","","","Mounting Hole with connection,Net tie, 2 pins"
"J1","1","LSHM-140-04.0-L-DV-A-N-K-TR","Samtec","80 Position Connector Self Mating, Non-Gendered, Hermaphroditic Surface Mount Gold"
"R1","1","CRCW040262K0FKED","Vishay","62 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R2","1","CRCW040244K2FKED","Vishay","44.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R3","1","CRCW040224R9FKEDHP","Vishay","24.9 Ohms ±1% 0.2W, 1/5W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R4","1","MCS04020C1203FE000","Yageo","120 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Anti-Sulfur Thin Film"
"R6","1","CRCW04024K75FKED","Vishay","4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R7,R8","2","RCWE0603R500FKEA","Vishay","500 mOhms ±1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Thick Film"
"U1","1","LTM4651EY#PBF","Analog Devices","Non-Isolated PoL Module DC DC Converter 1 Output -0.5 ~ -26.5V 3.6V - 58V Input"
